Municipios;Sexo;Periodo;Total
29004 Alfarnatejo;Mujeres;2019;184
29004 Alfarnatejo;Mujeres;2018;190
29004 Alfarnatejo;Mujeres;2017;187
29004 Alfarnatejo;Mujeres;2016;198
29004 Alfarnatejo;Mujeres;2015;226
29004 Alfarnatejo;Mujeres;2014;234
29004 Alfarnatejo;Mujeres;2013;248
29004 Alfarnatejo;Mujeres;2012;259
29004 Alfarnatejo;Mujeres;2011;268
29004 Alfarnatejo;Mujeres;2010;269
29004 Alfarnatejo;Mujeres;2009;265
29004 Alfarnatejo;Mujeres;2008;248
29004 Alfarnatejo;Mujeres;2007;228
29004 Alfarnatejo;Mujeres;2006;216
29004 Alfarnatejo;Mujeres;2005;193
29004 Alfarnatejo;Mujeres;2004;188
29004 Alfarnatejo;Mujeres;2003;182
29004 Alfarnatejo;Mujeres;2002;180
29004 Alfarnatejo;Mujeres;2001;182
29004 Alfarnatejo;Mujeres;2000;186
29004 Alfarnatejo;Mujeres;1999;192
29004 Alfarnatejo;Mujeres;1998;188
29004 Alfarnatejo;Mujeres;1997;""
29004 Alfarnatejo;Mujeres;1996;188
29005 Algarrobo;Total;2022;6.625
29005 Algarrobo;Total;2021;6.551
29005 Algarrobo;Total;2020;6.556
29005 Algarrobo;Total;2019;6.444
29005 Algarrobo;Total;2018;6.367
29005 Algarrobo;Total;2017;6.284
29005 Algarrobo;Total;2016;6.232
29005 Algarrobo;Total;2015;6.013
29005 Algarrobo;Total;2014;6.103
29005 Algarrobo;Total;2013;6.601
29005 Algarrobo;Total;2012;6.584
29005 Algarrobo;Total;2011;6.539
29005 Algarrobo;Total;2010;6.350
29005 Algarrobo;Total;2009;6.219
29005 Algarrobo;Total;2008;6.144
29005 Algarrobo;Total;2007;5.907
29005 Algarrobo;Total;2006;5.668
29005 Algarrobo;Total;2005;5.275
29005 Algarrobo;Total;2004;4.979
29005 Algarrobo;Total;2003;4.862
29005 Algarrobo;Total;2002;4.823
29005 Algarrobo;Total;2001;4.844
29005 Algarrobo;Total;2000;4.852
29005 Algarrobo;Total;1999;4.861
29005 Algarrobo;Total;1998;4.794
29005 Algarrobo;Total;1997;""
29005 Algarrobo;Total;1996;4.735
29005 Algarrobo;Hombres;2022;3.305
29005 Algarrobo;Hombres;2021;3.298
29005 Algarrobo;Hombres;2020;3.296
29005 Algarrobo;Hombres;2019;3.238
29005 Algarrobo;Hombres;2018;3.191
29005 Algarrobo;Hombres;2017;3.152
29005 Algarrobo;Hombres;2016;3.136
29005 Algarrobo;Hombres;2015;3.035
29005 Algarrobo;Hombres;2014;3.067
29005 Algarrobo;Hombres;2013;3.314
29005 Algarrobo;Hombres;2012;3.323
29005 Algarrobo;Hombres;2011;3.282
29005 Algarrobo;Hombres;2010;3.182
29005 Algarrobo;Hombres;2009;3.128
29005 Algarrobo;Hombres;2008;3.090
29005 Algarrobo;Hombres;2007;2.972
29005 Algarrobo;Hombres;2006;2.859
29005 Algarrobo;Hombres;2005;2.648
29005 Algarrobo;Hombres;2004;2.491
29005 Algarrobo;Hombres;2003;2.417
29005 Algarrobo;Hombres;2002;2.400
29005 Algarrobo;Hombres;2001;2.412
29005 Algarrobo;Hombres;2000;2.402
29005 Algarrobo;Hombres;1999;2.412
29005 Algarrobo;Hombres;1998;2.387
29005 Algarrobo;Hombres;1997;""
29005 Algarrobo;Hombres;1996;2.389
29005 Algarrobo;Mujeres;2022;3.320
29005 Algarrobo;Mujeres;2021;3.253
29005 Algarrobo;Mujeres;2020;3.260
29005 Algarrobo;Mujeres;2019;3.206
29005 Algarrobo;Mujeres;2018;3.176
29005 Algarrobo;Mujeres;2017;3.132
29005 Algarrobo;Mujeres;2016;3.096
29005 Algarrobo;Mujeres;2015;2.978
